fair_mkt_rent,area_name,county_name,pop2010,state,metro
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Canton town,10292,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",East Granby town,5148,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",East Hartford town,51252,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",East Windsor town,11162,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Enfield town,44654,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Farmington town,25340,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Glastonbury town,34427,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Granby town,11282,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford town,124775,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartland town,2114,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Manchester town,58241,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Marlborough town,6404,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",New Britain town,73206,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Newington town,30562,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Plainville town,17716,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Rocky Hill town,19709,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Simsbury town,23511,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Southington town,43069,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",South Windsor town,25709,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Suffield town,15735,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",West Hartford town,63268,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Wethersfield town,26668,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Windsor town,29044,CT,1
1655,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Windsor Locks town,12498,CT,1
1548,"Litchfield County, CT",Barkhamsted town,3799,CT,0
1548,"Litchfield County, CT",Bethlehem town,3607,CT,0
1548,"Litchfield County, CT",Bridgewater town,1727,CT,0
1548,"Litchfield County, CT",Canaan town,1234,CT,0
1548,"Litchfield County, CT",Colebrook town,1485,CT,0
1548,"Litchfield County, CT",Cornwall town,1420,CT,0
1548,"Litchfield County, CT",Goshen town,2976,CT,0
1548,"Litchfield County, CT",Harwinton town,5642,CT,0
1548,"Litchfield County, CT",Kent town,2979,CT,0
1548,"Litchfield County, CT",Litchfield town,8466,CT,0
1548,"Litchfield County, CT",Morris town,2388,CT,0
1548,"Litchfield County, CT",New Hartford town,6970,CT,0
1548,"Litchfield County, CT",New Milford town,28142,CT,0
1548,"Litchfield County, CT",Norfolk town,1709,CT,0
1548,"Litchfield County, CT",North Canaan town,3315,CT,0
1548,"Litchfield County, CT",Plymouth town,12243,CT,0
1548,"Litchfield County, CT",Roxbury town,2262,CT,0
1548,"Litchfield County, CT",Salisbury town,3741,CT,0
1548,"Litchfield County, CT",Sharon town,2782,CT,0
1548,"Litchfield County, CT",Thomaston town,7887,CT,0
1548,"Litchfield County, CT",Torrington town,36383,CT,0
1548,"Litchfield County, CT",Warren town,1461,CT,0
1548,"Litchfield County, CT",Washington town,3578,CT,0
