two_bed,studio,one_bed,three_bed,four_bed,county_name,pop2010,state,metro
1144,732,918,1425,1655,Somers town,11444,CT,1
1144,732,918,1425,1655,Stafford town,12087,CT,1
1144,732,918,1425,1655,Tolland town,15052,CT,1
1144,732,918,1425,1655,Union town,854,CT,1
1144,732,918,1425,1655,Vernon town,29179,CT,1
1144,732,918,1425,1655,Willington town,6041,CT,1
953,567,711,1187,1329,Ashford town,4317,CT,0
953,567,711,1187,1329,Brooklyn town,8210,CT,0
953,567,711,1187,1329,Canterbury town,5132,CT,0
953,567,711,1187,1329,Chaplin town,2305,CT,0
953,567,711,1187,1329,Eastford town,1749,CT,0
953,567,711,1187,1329,Hampton town,1863,CT,0
953,567,711,1187,1329,Killingly town,17370,CT,0
953,567,711,1187,1329,Plainfield town,15405,CT,0
953,567,711,1187,1329,Pomfret town,4247,CT,0
953,567,711,1187,1329,Putnam town,9584,CT,0
953,567,711,1187,1329,Scotland town,1726,CT,0
953,567,711,1187,1329,Sterling town,3830,CT,0
953,567,711,1187,1329,Thompson town,9458,CT,0
953,567,711,1187,1329,Windham town,25268,CT,0
953,567,711,1187,1329,Woodstock town,7964,CT,0
984,649,830,1378,1738,Kent County,162310,DE,1
1156,814,959,1440,1546,New Castle County,538479,DE,1
987,713,730,1347,1568,Sussex County,197145,DE,0
1458,1167,1230,1951,2451,District of Columbia,601723,DC,1
883,676,695,1180,1534,Alachua County,247336,FL,1
728,491,614,972,1058,Baker County,27115,FL,1
886,703,747,1206,1524,Bay County,168852,FL,1
643,519,542,948,951,Bradford County,28520,FL,0
878,542,709,1216,1446,Brevard County,543376,FL,1
1263,764,994,1801,2237,Broward County,1748066,FL,1
643,519,533,801,905,Calhoun County,14625,FL,0
854,508,669,1213,1217,Charlotte County,159978,FL,1
770,600,604,1020,1270,Citrus County,141236,FL,0
931,628,775,1228,1502,Clay County,190865,FL,1
990,691,795,1293,1592,Collier County,321520,FL,1
747,480,620,1101,1323,Columbia County,67531,FL,0
658,532,555,898,901,DeSoto County,34862,FL,0
643,519,542,939,942,Dixie County,16422,FL,0
931,628,775,1228,1502,Duval County,864263,FL,1
828,613,698,1116,1448,Escambia County,297619,FL,1
935,640,717,1217,1336,Flagler County,95696,FL,1
713,576,601,1051,1054,Franklin County,11549,FL,0
905,705,749,1160,1578,Gadsden County,46389,FL,1
883,676,695,1180,1534,Gilchrist County,16939,FL,1
812,623,627,1054,1143,Glades County,12884,FL,0
702,567,592,1034,1038,Gulf County,15863,FL,0
643,519,533,801,940,Hamilton County,14799,FL,0
661,534,544,823,883,Hardee County,27731,FL,0
757,556,560,998,1151,Hendry County,39140,FL,0
959,610,765,1280,1533,Hernando County,172778,FL,1
726,571,575,1070,1073,Highlands County,98786,FL,0
959,610,765,1280,1533,Hillsborough County,1229226,FL,1
643,519,542,881,905,Holmes County,19927,FL,0
821,532,659,1104,1109,Indian River County,138028,FL,1
643,519,539,801,999,Jackson County,49746,FL,0
905,705,749,1160,1578,Jefferson County,14761,FL,1
643,519,533,801,905,Lafayette County,8870,FL,0
997,707,836,1330,1608,Lake County,297052,FL,1
896,703,707,1216,1251,Lee County,618754,FL,1
905,705,749,1160,1578,Leon County,275487,FL,1
657,531,542,915,1164,Levy County,40801,FL,0
643,519,533,948,951,Liberty County,8365,FL,0
643,519,533,948,1066,Madison County,19224,FL,0
960,675,750,1286,1511,Manatee County,322833,FL,1
